100;4
107;4
114;5
122;5
130;6
139;7
148;5
158;12
169;14
181;7
193;9
206;8
220;11
235;9
251;17
268;72
287;11
307;12
328;17
351;18
376;13
402;17
430;18
460;22
492;27
527;25
564;31
604;27
647;52
693;41
742;44
795;33
851;48
911;65
976;41
1045;59
1119;64
1198;84
1283;96
1374;90
1472;95
1577;103
1689;72
1809;100
1938;111
2076;109
2224;113
2382;123
2552;118
2734;133
2929;146
3138;173
3362;173
3602;174
3859;182
4134;203
4429;243
4745;222
5083;288
5446;334
5835;347
6251;374
6697;437
7175;415
7687;444
8236;476
8824;514
9454;543
10129;621
10852;638
11627;702
12457;730
13346;797
14299;883
15320;870
16414;1040
17586;1084
18842;1086
20187;1187
21628;1284
23172;1360
24827;1565
26600;1611
28500;1767
30535;1915
32716;1941
35052;2120
37555;2247
40237;2442
43111;2574
46190;2825
49489;2925
53023;3093
56810;3392
60867;1818
65214;3338
69872;4385
74862;4683
80209;4620
85938;5229
92076;5734
98652;5907
105698;6211
113247;6649
121336;7286
130002;8262
139287;8272
149236;8759
159895;10414
171316;9994
183552;9889
196662;11587
210709;12453
225759;13752
241884;14261
259161;15274
277672;17211
297505;17720
318755;19338
341523;21112
365917;29722
392053;23831
420056;32885
450060;36768
482207;38340
516650;40970
553553;44581
593092;47533
635455;52432
