100;0;0;0;0;0
125;0;0;0;0;0
156;1;1;0;0;0
195;1;1;1;1;1
243;1;1;1;1;1
303;2;3;2;3;2
378;5;8;1;4;4
472;7;7;7;8;6
590;11;12;10;11;10
737;17;8;17;16;16
921;29;30;28;24;26
1151;41;41;49;37;114
1438;82;64;8;67;70
1797;107;107;106;112;114
2246;4;179;191;10;191
2807;346;236;156;306;72
3508;52;118;224;103;89
4385;807;626;731;63;150
5481;250;330;490;222;96
6851;237;512;130;183;40
8563;1890;303;66;253;30
10703;121;730;537;114;49
13378;334;5;121;108;157
16722;80;447;448;405;357
20902;286;191;198;734;586
26127;643;1922;1350;298;35
32658;55;339;935;803;334
40822;388;308;353;259;36
51027;223;559;495;2113;630
63783;118;20;747;1179;970
79728;850;3033;2846;121;111
99660;2291;2898;262;3414;870
124575;1440;240;4515;346;20
155718;3436;6931;2288;7446;986
194647;1426;1801;4579;4255;7375
243308;885;3505;1966;714;6127
304135;6615;6070;662;2567;3225
380168;2962;4691;1948;1013;140
475210;9049;3275;4830;3870;19397
594012;6506;12069;2798;1497;438
742515;5334;2341;13231;15439;50334
928143;296;19708;34498;13579;21994
