100;47;47;51;45;41
105;41;46;45;68;54
110;46;48;55;47;42
115;47;44;46;42;44
121;48;53;41;47;49
127;44;45;42;43;37
133;47;40;51;42;51
140;38;58;43;38;38
147;44;51;48;36;41
154;41;49;42;39;46
162;59;38;39;45;46
170;36;63;53;52;48
178;60;43;46;43;42
187;37;38;37;49;47
196;42;49;41;49;52
206;42;40;49;51;43
216;45;46;47;52;44
227;53;54;43;43;57
238;63;48;51;41;40
250;48;48;43;54;47
263;50;52;58;53;54
276;52;51;65;52;59
290;47;50;56;41;47
305;47;45;48;51;53
321;46;52;52;45;51
337;70;47;55;56;61
354;71;49;51;53;48
372;43;52;54;47;45
391;60;72;53;57;41
411;55;58;53;61;80
432;46;63;68;64;61
454;48;54;61;72;66
477;62;65;56;57;45
502;67;66;59;51;59
528;64;62;59;61;60
555;53;55;52;52;53
584;57;54;72;67;56
614;55;56;61;59;61
646;61;84;67;70;73
680;77;67;76;72;55
715;65;79;58;75;72
752;65;68;72;61;69
791;70;54;73;67;65
832;66;65;66;54;61
875;66;65;76;60;73
921;73;76;71;58;62
969;75;71;58;68;67
1020;76;75;57;59;52
1073;70;78;79;60;66
1129;66;79;56;65;71
1188;66;76;76;67;65
1250;66;72;60;60;63
1315;86;69;67;56;79
1384;64;59;61;67;64
1456;65;66;82;65;66
1532;77;82;84;65;66
1612;63;73;56;72;77
1696;72;80;90;81;72
1785;70;79;74;69;80
1878;74;67;72;73;58
1976;66;70;68;69;64
2080;74;72;73;73;60
2189;71;89;89;80;68
2304;65;64;69;76;82
2425;69;83;91;67;70
2552;83;57;79;68;58
2686;66;69;75;78;73
2827;83;82;91;74;68
2975;57;88;67;85;83
3131;79;72;77;73;77
3295;95;82;64;84;74
3468;97;92;101;52;104
3650;102;84;72;69;96
3842;86;100;67;84;71
4044;91;56;75;79;87
4256;63;86;52;69;83
4480;75;77;85;70;63
4715;72;54;59;79;85
4963;74;77;89;89;58
5224;85;111;75;49;68
5498;85;75;88;67;72
5787;72;69;82;56;82
6091;88;60;82;63;87
6411;90;56;76;72;70
6748;66;62;59;81;49
7103;84;51;57;85;54
7476;75;81;63;71;56
7869;56;65;76;57;80
8283;73;64;60;80;47
8718;59;81;91;82;60
9176;82;54;89;74;96
9658;75;105;59;86;77
10166;61;61;56;71;80
10701;62;88;86;83;56
11264;62;65;80;79;87
11856;58;83;89;81;65
12480;52;77;94;98;57
13136;90;61;86;85;77
13827;89;80;75;61;75
14554;60;89;73;131;86
15320;64;95;56;66;65
16126;60;65;115;86;55
16974;67;74;78;60;97
17867;62;87;63;96;75
18807;80;85;70;76;94
19796;122;89;91;66;76
20837;90;84;61;85;93
21933;75;125;70;62;87
23087;59;81;78;68;67
24302;58;84;92;72;78
25581;78;77;58;103;126
26927;133;121;69;129;140
28344;71;62;93;91;64
29835;69;64;92;78;89
31405;68;120;60;66;85
33057;84;125;63;75;123
