100;0;0;0;0;0
125;0;0;0;0;0
156;0;0;0;0;0
195;0;0;0;0;0
243;0;0;0;0;0
303;0;0;0;0;0
378;0;0;0;0;0
472;0;0;0;0;0
590;0;0;0;0;0
737;0;0;0;0;0
921;0;0;0;0;0
1151;0;0;0;0;0
1438;0;0;0;0;0
1797;0;0;0;0;0
2246;0;0;0;0;0
2807;0;0;0;0;0
3508;0;0;0;0;0
4385;0;0;0;0;0
5481;0;0;1;0;0
6851;1;1;2;1;0
8563;0;0;2;0;0
10703;1;1;1;2;1
13378;1;1;1;1;1
16722;2;1;1;1;1
20902;2;2;2;2;2
26127;2;2;2;4;3
32658;3;3;3;3;4
40822;5;4;3;4;3
51027;6;5;5;5;5
63783;6;6;6;6;6
79728;7;9;7;7;8
99660;9;10;11;12;10
124575;15;29;13;18;26
155718;15;19;17;17;18
194647;31;21;22;19;19
243308;23;37;30;27;24
304135;31;38;36;32;34
380168;49;44;52;58;40
475210;55;59;60;52;51
594012;71;60;63;75;90
742515;96;93;100;91;87
928143;120;101;116;123;118
