100;4
107;4
114;4
122;5
130;6
139;6
148;7
158;7
169;12
181;9
193;13
206;14
220;12
235;13
251;14
268;17
287;15
307;19
328;34
351;18
376;18
402;21
430;32
460;24
492;25
527;49
564;38
604;45
647;44
693;39
742;62
795;34
851;41
911;68
976;42
1045;50
1119;61
1198;81
1283;64
1374;72
1472;89
1577;69
1689;90
1809;87
1938;109
2076;122
2224;120
2382;141
2552;132
2734;154
2929;159
3138;183
3362;176
3602;211
3859;201
4134;223
4429;232
4745;267
5083;311
5446;341
5835;355
6251;422
6697;474
7175;463
7687;516
8236;528
8824;557
9454;603
10129;680
10852;728
11627;757
12457;823
13346;847
14299;966
15320;1023
16414;1066
17586;1151
18842;1207
20187;1287
21628;1393
23172;1544
24827;1754
26600;1843
28500;1898
30535;1963
32716;2468
35052;2303
37555;2637
40237;2600
43111;2854
46190;3023
49489;3266
53023;3498
56810;2001
60867;3388
65214;4309
69872;4789
74862;4866
80209;5296
85938;5677
92076;6022
98652;6395
105698;6623
113247;7579
121336;8061
130002;8298
139287;9006
149236;9934
159895;10622
171316;6872
183552;12166
196662;12856
210709;14721
225759;14630
241884;16351
259161;17438
277672;18271
297505;20843
318755;20774
341523;29903
365917;21279
392053;27438
420056;37496
450060;39809
482207;42298
516650;46090
553553;49232
593092;53211
635455;56732
