100;1;1;1;2;2
105;1;1;1;1;1
110;2;2;4;3;2
115;1;2;5;2;2
121;2;2;2;2;2
127;2;2;2;2;2
133;7;2;2;2;3
140;10;3;3;2;2
147;2;2;3;2;2
154;2;2;4;3;2
162;2;2;3;2;2
170;2;2;2;2;2
178;2;2;3;3;3
187;3;2;2;3;3
196;3;3;3;3;3
206;3;3;3;3;3
216;3;3;3;3;3
227;3;3;3;3;3
238;4;3;4;3;4
250;4;4;6;4;5
263;18;11;5;5;6
276;7;5;8;4;4
290;5;5;4;5;4
305;5;5;4;5;5
321;5;5;6;5;5
337;5;5;7;8;7
354;8;7;7;6;6
372;6;5;6;5;6
391;7;6;6;6;6
411;6;6;6;6;6
432;6;6;7;5;7
454;7;9;7;6;7
477;7;8;7;7;7
502;9;7;6;6;8
528;9;13;8;8;9
555;8;8;8;12;9
584;9;10;8;8;9
614;10;10;10;12;10
646;13;10;10;15;17
680;12;11;11;12;11
715;13;13;11;10;11
752;13;12;13;11;11
791;13;11;12;11;10
832;12;18;13;13;12
875;13;18;12;22;11
921;13;14;15;15;15
969;16;17;14;14;13
1020;15;19;23;14;14
1073;14;15;16;15;13
1129;17;17;15;17;16
1188;20;16;17;17;16
1250;18;18;20;18;26
1315;24;24;20;19;21
1384;19;21;20;22;21
1456;30;23;22;22;21
1532;25;25;25;22;31
1612;32;35;27;25;21
1696;26;28;26;24;26
1785;25;31;27;27;34
1878;27;29;25;33;26
1976;29;34;26;26;29
2080;34;32;30;35;33
2189;34;38;31;35;36
2304;34;38;37;36;34
2425;40;37;33;36;40
2552;41;18;45;38;39
2686;39;42;41;43;39
2827;47;46;46;46;45
2975;48;50;44;42;42
3131;46;26;43;42;49
3295;68;46;45;49;49
3468;63;51;54;52;60
3650;53;54;50;55;51
3842;57;54;63;68;61
4044;65;40;59;57;66
4256;64;64;73;48;63
4480;62;72;63;65;35
4715;14;71;70;72;77
4963;83;80;69;76;79
5224;78;72;84;91;81
5498;84;86;81;84;15
5787;88;90;93;76;52
6091;97;79;82;95;69
6411;104;104;107;99;100
6748;98;118;100;59;95
7103;111;113;102;111;104
7476;0;117;118;113;115
7869;100;124;125;123;115
8283;140;119;27;129;1
8718;139;129;133;130;44
9176;151;133;146;138;55
9658;146;49;148;131;125
10166;152;167;168;152;149
10701;44;175;94;167;174
11264;82;169;178;166;173
11856;178;193;42;88;185
12480;189;137;205;192;11
13136;221;206;213;37;197
13827;201;220;184;43;218
14554;100;227;228;242;223
15320;231;13;151;249;203
16126;204;244;250;255;248
16974;256;267;88;12;264
17867;234;301;285;286;161
18807;297;293;53;127;292
19796;103;73;294;40;303
20837;313;331;188;134;320
21933;376;339;325;340;30
23087;18;360;358;250;353
24302;301;59;7;389;86
25581;185;406;402;387;389
26927;20;374;289;14;416
28344;441;383;455;440;351
29835;459;234;147;280;461
31405;59;31;249;476;506
33057;94;18;10;285;38
34796;561;81;529;138;568
36627;574;576;433;236;560
38554;613;211;173;59;75
40583;552;588;619;658;83
42718;75;676;11;661;667
44966;446;578;395;695;666
47332;287;728;760;284;745
49823;158;428;18;288;757
52445;125;121;331;373;408
55205;372;105;60;848;374
58110;159;58;304;918;244
61168;215;972;608;204;970
64387;1;1009;191;203;79
67775;937;650;421;570;92
71342;340;118;373;123;106
75096;87;426;23;1201;250
79048;82;574;1220;587;1243
83208;648;1267;1024;1334;226
87587;34;259;578;443;626
92196;99;83;327;214;1134
97048;667;606;440;472;690
102155;1642;330;69;109;1219
107531;23;3;594;281;61
113190;451;33;214;102;455
119147;489;560;722;186;128
125417;261;48;66;601;752
132017;357;142;179;747;177
138965;347;2190;115;251;80
146278;230;331;2091;579;915
153976;107;576;514;219;1008
162080;373;139;375;1177;714
170610;67;437;942;1966;80
179589;441;45;63;160;146
189041;66;900;976;455;717
198990;218;364;16;58;845
209463;3231;259;1698;0;1397
220487;68;56;317;220;616
232091;126;627;30;1320;207
244306;664;667;556;536;699
